Call Number,Call # Formatted,Title,Title,Library,Author,Barcode,COPY,N/A,LOCATION,Loan,Edition,Year,Last Check-Out,Check-  Outs,Decision,Call Number 2,Field18,Title,Library 2,Barcode 2,Field22,Field23,Field24,Field25,Field26,Field27,Field28,Date Created,Last Check-Out,Check-Outs
HF5343 .C584,HF5343.C584,"The visible hand : the managerial revolution in American business / Alfred D. Chandler, Jr",The visible hand : the managerial revolution …,DOHENY,"Chandler, Alfred Dupont",31275000766346,1,637235,BOOKSTACKS,4WK/SEMSTR,-,1977,1/17/2013,119,,HF5343 .C584,HF5343.C584,"The visible hand : the managerial revolution in American business / Alfred D. Chandler, Jr",LEAVEY,31275000875873,,1,637235,BOOKSTACKS,4WK/SEMSTR,-,1977,9/25/1996,10/26/2012,98
HC79.T4 N36 1992,HC79.T4N361992,National systems of innovation : towards a theory of innovation and interactive learning / edited by Bengt-Åke Lundvall,National systems of innovation : towards a th…,GRANDDEPOS,"Lundvall, Bengt-Åke, 1941-",31275023271944,1,831449,BOOKSTACKS,4WK/SEMSTR,-,1992,9/2/2002,31,,HC79.T4 N36 1992,HC79.T4N361992,National systems of innovation : towards a theory of innovation and interactive learning / edited by Bengt-Åke Lundvall,LEAVEY,31275026456591,,1,831449,BOOKSTACKS,4WK/SEMSTR,-,1992,9/26/1996,7/10/2014,96
HF5813.U6 S38 1984,HF5813.U6S381984,"Advertising, the uneasy persuasion : its dubious impact on American society / Michael Schudson","Advertising, the uneasy persuasion : its dubi…",GRANDDEPOS,"Schudson, Michael",31275017385395,1,610916,BOOKSTACKS,4WK/SEMSTR,-,1984,11/23/2005,38,,HF5813.U6 S38 1984,HF5813.U6S381984,"Advertising, the uneasy persuasion : its dubious impact on American society / Michael Schudson",LEAVEY,31275017490534,,1,610916,BOOKSTACKS,4WK/SEMSTR,-,1984,9/25/1996,4/24/2013,96
PS3563.O8749 S6,PS3563.O8749S6,Song of Solomon / Toni Morrison,Song of Solomon / Toni Morrison…,GRANDDEPOS,"Morrison, Toni",31275026046582,2,637143,BOOKSTACKS,4WK/SEMSTR,-,1977,7/26/2011,42,,PS3563.O8749 S6,PS3563.O8749S6,Song of Solomon / Toni Morrison,LEAVEY,31275002566009,,2,637143,BOOKSTACKS,4WK/SEMSTR,-,1977,9/25/1996,11/20/2014,96
Q175 .P8823 1984,Q175.P88231984,Order out of chaos : man's new dialogue with nature / Ilya Prigogine and Isabelle Stengers; foreword by Alvin Toffler,Order out of chaos : man's new dialogue with …,SCIENCE,"Prigogine, I. (Ilya)",31275005697900,1,554195,BOOKSTACKS,4WK/SEMSTR,-,1984,8/30/2011,76,,Q175 .P8823 1984,Q175.P88231984,Order out of chaos : man's new dialogue with nature / Ilya Prigogine and Isabelle Stengers; foreword by Alvin Toffler,LEAVEY,31275015098628,,1,554195,BOOKSTACKS,4WK/SEMSTR,-,1984,9/24/1996,10/13/2011,96
HN80.L7 C57 1996,HN80.L7C571996,"The city : Los Angeles and urban theory at the end of the twentieth century / edited by Allen J. Scott, Edward W. Soja",The city : Los Angeles and urban theory at th…,VKC,"Scott, Allen John",31275046609518,1,1057105,BOOKSTACKS,4WK/SEMSTR,-,1996,1/17/2013,14,,HN80.L7 C57 1996,HN80.L7C571996,"The city : Los Angeles and urban theory at the end of the twentieth century / edited by Allen J. Scott, Edward W. Soja",LEAVEY,31275028895218,,1,1057105,BOOKSTACKS,4WK/SEMSTR,-,1996,7/21/1997,12/6/2013,96
PN2021 .B68,PN2021.B68,Brecht on theatre; the development of an aesthetic. Edited and translated by John Willett,Brecht on theatre; the development of an aest…,GRANDDEPOS,"Brecht, Bertolt, 1898-1956",31275041958266,4,618703,BOOKSTACKS,4WK/SEMSTR,[1st ed.],1964,3/6/2014,6,,PN2021 .B68,PN2021.B68,Brecht on theatre; the development of an aesthetic. Edited and translated by John Willett,LEAVEY,31275003473197,,4,618703,BOOKSTACKS,4WK/SEMSTR,[1st ed.],1964,9/25/1996,6/17/2013,96
LC4091 .K69 1991,LC4091.K691991,Savage inequalities : children in America's schools / Jonathan Kozol,Savage inequalities : children in America's s…,DOHENY,"Kozol, Jonathan",31275023422448,2,52817,BOOKSTACKS,4WK/SEMSTR,1st ed.,1991,11/12/2014,82,,LC4091 .K69 1991,LC4091.K691991,Savage inequalities : children in America's schools / Jonathan Kozol,LEAVEY,31275026280058,,2,52817,BOOKSTACKS,4WK/SEMSTR,1st ed.,1991,9/23/1996,12/8/2013,96
HT166 .J262 1985,HT166.J2621985,Looking at cities / Allan B. Jacobs,Looking at cities / Allan B. Jacobs…,GRANDDEPOS,"Jacobs, Allan B",31275016733512,1,611444,BOOKSTACKS,4WK/SEMSTR,-,1985,5/9/2012,6,,HT166 .J262 1985,HT166.J2621985,Looking at cities / Allan B. Jacobs,LEAVEY,31275017680845,,1,611444,BOOKSTACKS,4WK/SEMSTR,-,1985,9/25/1996,1/17/2013,95
F1210 .P313,F1210.P313,The labyrinth of solitude: life and thought in Mexico. Translated by Lysander Kemp,The labyrinth of solitude: life and thought i…,DOHENY,"Paz, Octavio, 1914-1998",31275003217081,2,38942,BOOKSTACKS,4WK/SEMSTR,-,1962,5/24/1999,39,,F1210 .P313,F1210.P313,The labyrinth of solitude: life and thought in Mexico. Translated by Lysander Kemp,LEAVEY,31275001376137,,2,38942,BOOKSTACKS,4WK/SEMSTR,-,1962,9/23/1996,5/12/2014,94
F869.L89 N44 1992,F869.L89N441992,Understanding the riots : Los Angeles before and after the Rodney King case / by the staff of the Los Angeles Times,Understanding the riots : Los Angeles before …,DOHENY,Los Angeles Times (Firm),31275025770380,2,53867,BOOKSTACKS,4WK/SEMSTR,-,1992,2/5/2001,23,,F869.L89 N44 1992,F869.L89N441992,Understanding the riots : Los Angeles before and after the Rodney King case / by the staff of the Los Angeles Times,LEAVEY,31275026340134,,2,53867,BOOKSTACKS,4WK/SEMSTR,-,1992,9/23/1996,1/24/2015,94
F1210 .P313,F1210.P313,The labyrinth of solitude: life and thought in Mexico. Translated by Lysander Kemp,The labyrinth of solitude: life and thought i…,GRANDDEPOS,"Paz, Octavio, 1914-1998",31275001376129,1,38942,BOOKSTACKS,4WK/SEMSTR,-,1962,6/19/2009,16,,F1210 .P313,F1210.P313,The labyrinth of solitude: life and thought in Mexico. Translated by Lysander Kemp,LEAVEY,31275001376137,,1,38942,BOOKSTACKS,4WK/SEMSTR,-,1962,9/23/1996,5/12/2014,94
JA74 .E3,JA74.E3,The symbolic uses of politics [by] Murray Edelman,The symbolic uses of politics [by] Murray Ede…,VKC,"Edelman, Murray J. (Murray Jacob), 1919-2001",31275004108941,1,791,BOOKSTACKS,4WK/SEMSTR,-,1964,4/26/2010,95,,JA74 .E3,JA74.E3,The symbolic uses of politics [by] Murray Edelman,LEAVEY,31275000853938,,1,791,BOOKSTACKS,4WK/SEMSTR,-,1964,9/23/1996,11/8/2010,94
F869.L89 N44 1992,F869.L89N441992,Understanding the riots : Los Angeles before and after the Rodney King case / by the staff of the Los Angeles Times,Understanding the riots : Los Angeles before …,GRANDDEPOS,Los Angeles Times (Firm),31275035434035,1,53867,BOOKSTACKS,4WK/SEMSTR,-,1992,5/10/2012,14,,F869.L89 N44 1992,F869.L89N441992,Understanding the riots : Los Angeles before and after the Rodney King case / by the staff of the Los Angeles Times,LEAVEY,31275026340134,,1,53867,BOOKSTACKS,4WK/SEMSTR,-,1992,9/23/1996,1/24/2015,94
DS436 .N47 1987 pt.1 v.3,DS436.N471987pt.1v.3,Mughal and Rajput painting / Milo Cleveland Beach,Mughal and Rajput painting / Milo Cleveland B…,GRANDDEPOS,"Beach, Milo Cleveland",31275024646151,1,987438,BOOKSTACKS,4WK/SEMSTR,-,1992,4/17/2007,10,,DS436 .N47 1987 pt.1 v.3,DS436.N471987pt.1v.3,Mughal and Rajput painting / Milo Cleveland Beach,LEAVEY,31275026396490,,1,987438,BOOKSTACKS,4WK/SEMSTR,-,1992,1/1/1997,5/8/2006,93
BJ1289 .K43 1995,BJ1289.K431995,Buddhism & bioethics / Damien Keown,Buddhism & bioethics / Damien Keown…,DOHENY,"Keown, Damien, 1951-",31275027531715,1,383927,BOOKSTACKS,4WK/SEMSTR,-,1995,10/23/2008,78,,BJ1289 .K43 1995,BJ1289.K431995,Buddhism & bioethics / Damien Keown,LEAVEY,31275027546846,,1,383927,BOOKSTACKS,4WK/SEMSTR,-,1995,12/16/1996,11/27/2006,93
DS821 .B31713 1982,DS821.B317131982,Empire of signs / Roland Barthes ; translated by Richard Howard,Empire of signs / Roland Barthes ; translated…,DOHENY,"Barthes, Roland",31275003173946,1,651230,BOOKSTACKS,4WK/SEMSTR,1st American ed.,1982,5/1/2013,81,,DS821 .B31713 1982,DS821.B317131982,Empire of signs / Roland Barthes ; translated by Richard Howard,LEAVEY,31275003283638,,1,651230,BOOKSTACKS,4WK/SEMSTR,1st American ed.,1982,9/25/1996,5/2/2012,93
PR429.S45 G7 1980,PR429.S45G71980,Renaissance self-fashioning : from More to Shakespeare / Stephen Greenblatt,Renaissance self-fashioning : from More to Sh…,DOHENY,"Greenblatt, Stephen, 1943-",31275001412148,1,645889,BOOKSTACKS,4WK/SEMSTR,-,1980,5/2/2014,112,,PR429.S45 G7 1980,PR429.S45G71980,Renaissance self-fashioning : from More to Shakespeare / Stephen Greenblatt,LEAVEY,31275002659663,,1,645889,BOOKSTACKS,4WK/SEMSTR,-,1980,9/25/1996,1/29/2014,93
DS907.18 .M33 1996,DS907.18.M331996,The Koreans : contemporary politics and society / Donald Stone Macdonald ; edited and revised by Donald N. Clark,The Koreans : contemporary politics and socie…,GRANDDEPOS,"Macdonald, Donald Stone",31275028221134,1,997095,BOOKSTACKS,4WK/SEMSTR,3rd ed.,1996,4/13/2005,54,,DS907.18 .M33 1996,DS907.18.M331996,The Koreans : contemporary politics and society / Donald Stone Macdonald ; edited and revised by Donald N. Clark,LEAVEY,31275028221126,,1,997095,BOOKSTACKS,4WK/SEMSTR,3rd ed.,1996,1/15/1997,11/5/2011,92
JC71.P6 W45,JC71.P6W45,A companion to Plato's Republic / Nicholas P. White,A companion to Plato's Republic / Nicholas P.…,PHILOSOPHY,"White, Nicholas P., 1942-",31275004956240,1,643313,BOOKSTACKS,4WK/SEMSTR,-,1979,12/5/2008,78,,JC71.P6 W45,JC71.P6W45,A companion to Plato's Republic / Nicholas P. White,LEAVEY,31275000832783,,1,643313,BOOKSTACKS,4WK/SEMSTR,-,1979,9/25/1996,11/8/2014,92
