Call Number,Call Number (Formatted),Title,Author,Barcode,Library,Home Location,Current Location,Year,Date Added,Last Check-Out,Check-Outs,,
QL737.C23 S863 2002,QL737.C23S8632002,Wild cats of the world / Mel Sunquist and Fiona Sunquist ; with photographs by Terry Whittaker and others,"Sunquist, Melvin E",31275037344984,LEAVEY,BOOKSTACKS,BOOKSTACKS,2002,3/19/2003,3/1/2005,2,,
QL737.C23 S54 1989,QL737.C23S541989,Soul among lions : the cougar as peaceful adversary / Harley Shaw,"Shaw, Harley G",31275021454260,LEAVEY,BOOKSTACKS,BOOKSTACKS,1989,9/25/1996,2/4/2004,6,,
QL737.C23 M43 1997,QL737.C23M431997,How the tiger lost its stripes : an exploration into the endangerment of a species / Cory J. Meacham,"Meacham, Cory J",31275028747609,LEAVEY,BOOKSTACKS,BOOKSTACKS,1997,12/14/1997,10/19/2002,4,,
QL737.C22 W36 2008,QL737.C22W362008,"Dogs : their fossil relatives and evolutionary history / Xiaoming Wang, Richard H. Tedford ; illustrations by Mauricio Antón","Wang, Xiaoming, 1957-",31275046144573,LEAVEY,BOOKSTACKS,BOOKSTACKS,2008,2/24/2009,Never,0,,
QL737 .C22M32 2011,QL737.C22M322011,Following the last wild wolves / Ian McAllister ; with contributions by Chris Darimont ; introduction by Paul C. Paquet,"McAllister, Ian, 1969-",31275049531669,LEAVEY,BOOKSTACKS,BOOKSTACKS,2011,12/16/2011,Never,0,,
QL715 .K38 2002,QL715.K382002,Mammals of North America / Roland W. Kays and Don E. Wilson,"Kays, Roland, 1971-",31275037771228,LEAVEY,BOOKSTACKS,BOOKSTACKS,2002,4/2/2003,5/9/2005,7,,
QL715 .F67 1985,QL715.F671985,Mammals of the American North / by Adrian Forsyth,"Forsyth, Adrian",31275018488875,LEAVEY,BOOKSTACKS,BOOKSTACKS,1985,9/25/1996,5/9/2005,16,,
QL713.2 .M36,QL713.2.M36,Marine mammals of eastern North Pacific and Arctic waters / edited by Delphine Haley ; [maps by Judy Petry.̄,"Haley, Delphine",31275000862574,LEAVEY,BOOKSTACKS,BOOKSTACKS,1978,9/25/1996,12/7/2010,25,,
QL708 .D84 2004b,QL708.D842004b,Mammals of the world : a checklist / Andrew Duff and Ann Lawson,"Duff, Andrew, 1953-",31275039428561,LEAVEY,BOOKSTACKS,BOOKSTACKS,2004,12/3/2004,Never,0,,
QL703 .W222 1983 V.2,QL703.W2221983V.2,"Walker's Mammals of the world / by Ronald M. Nowak, and John L. Paradiso","Walker, Ernest P. (Ernest Pillsbury), 1891-1969",31275005607693,LEAVEY,BOOKSTACKS,BOOKSTACKS,1983,9/25/1996,5/9/2005,17,,
QL703 .W222 1983 V.1,QL703.W2221983V.1,"Walker's Mammals of the world / by Ronald M. Nowak, and John L. Paradiso","Walker, Ernest P. (Ernest Pillsbury), 1891-1969",31275005607701,LEAVEY,BOOKSTACKS,BOOKSTACKS,1983,9/25/1996,5/9/2005,10,,
QL703 .A78 2002x,QL703.A782002x,The life of mammals / David Attenborough,"Attenborough, David, 1926-",31275037241040,LEAVEY,BOOKSTACKS,BOOKSTACKS,2002,12/23/2002,12/10/2008,12,,
QL698.9 .W45 1999,QL698.9.W451999,Living on the wind : across the Hemisphere with migratory birds / Scott Weidensaul,"Weidensaul, Scott",31275029774735,LEAVEY,BOOKSTACKS,BOOKSTACKS,1999,10/14/1999,5/23/2005,2,,
QL698.9 .B4813 1993,QL698.9.B48131993,Bird migration : a general survey / Peter Berthold ; translated by Hans-Günther Bauer and Tricia Tomlinson,"Berthold, P. (Peter), 1939-",31275027497628,LEAVEY,BOOKSTACKS,BOOKSTACKS,1993,12/8/1996,6/6/2007,5,,
QL696.P4745 J64 1993,QL696.P4745J641993,"Cormorants, darters, and pelicans of the world / Paul A. Johnsgard","Johnsgard, Paul A",31275026468182,LEAVEY,BOOKSTACKS,BOOKSTACKS,1993,9/25/1996,8/30/2011,13,,
QL696.G84 J626 2011,QL696.G84J6262011,Sandhill and whooping cranes : ancient voices over America's wetlands / Paul A. Johnsgard,"Johnsgard, Paul A",31275054049425,LEAVEY,BOOKSTACKS,BOOKSTACKS,2011,5/21/2012,Never,0,,
QL696.F32 S79 1987,QL696.F32S791987,The bald eagle / Mark V. Stalmaster ; artwork by Michelle LaGory,"Stalmaster, Mark V",31275019157248,LEAVEY,BOOKSTACKS,BOOKSTACKS,1987,9/25/1996,11/10/2003,18,,
QL696 .F32B42 1996,QL696.F32B421996,Eagle's plume : the struggle to preserve the life and haunts of America's bald eagle / Bruce E. Beans,"Beans, Bruce E",31275028370329,LEAVEY,BOOKSTACKS,BOOKSTACKS,1996,2/20/1997,4/21/2010,7,,
QL696.C4 R67 1995,QL696.C4R671995,"Photographic guide to the shorebirds of the world / David Rosair, David Cottridge","Rosair, David",31275027594267,LEAVEY,BOOKSTACKS,BOOKSTACKS,1995,12/8/1996,11/2/2004,2,,
QL691.I4 A45 1996,QL691.I4A451996,The book of Indian birds / Sálim Ali,"Ali, Sálim, 1896-1987",31275012217809,LEAVEY,BOOKSTACKS,BOOKSTACKS,1996,11/9/1997,2/27/2004,1,,
QL684.C2 W43 1983,QL684.C2W431983,Birds of Southern California's Deep Canyon / Wesley W. Weathers ; color photographs by Debra and Wes Weathers,"Weathers, Wesley W",31275005658415,LEAVEY,BOOKSTACKS,BOOKSTACKS,1983,9/25/1996,9/19/2009,8,,
QL683.W4 S76 1996,QL683.W4S761996,Stokes field guide to birds. Western region / Donald and Lillian Q. Stokes,"Stokes, Donald W",31275028182310,LEAVEY,BOOKSTACKS,BOOKSTACKS,1996,12/19/1996,11/2/2004,19,,
QL683.W4 S74 2009,QL683.W4S742009,Birds of Western North America : a photographic guide / Paul Sterry & Brian E. Small,"Sterry, Paul",31275046941911,LEAVEY,BOOKSTACKS,BOOKSTACKS,2009,3/22/2010,11/29/2010,6,,
QL683.E27 S76 1996,QL683.E27S761996,Stokes field guide to birds. Eastern region / Donald and Lillian Stokes,"Stokes, Donald W",31275028185768,LEAVEY,BOOKSTACKS,BOOKSTACKS,1996,12/19/1996,2/3/2004,4,,
QL683.E27 S74 2009,QL683.E27S742009,Birds of Eastern North America : a photographic guide / Paul Sterry & Brian E. Small,"Sterry, Paul",31275046941762,LEAVEY,BOOKSTACKS,BOOKSTACKS,2009,3/22/2010,11/29/2010,6,,
QL682 .R64 2009,QL682.R642009,The life of the skies / Jonathan Rosen,"Rosen, Jonathan, 1963-",31275046060340,LEAVEY,BOOKSTACKS,BOOKSTACKS,2009,5/7/2009,Never,0,,
QL681 .K385 1996,QL681.K3851996,Lives of North American birds / Kenn Kaufman,"Kaufman, Kenn",31275028909399,LEAVEY,BOOKSTACKS,BOOKSTACKS,1996,7/8/1997,12/20/2003,15,,
QL681 .F53 1983,QL681.F531983,"Field guide to the birds of North America / Thomas B. Allen ... [et al.], writers ; Teresa S. Purvis, index ; contributions by Caroline Hottenstein ... [et al.]","Allen, Thomas B",31275016830532,LEAVEY,BOOKSTACKS,BOOKSTACKS,1983,9/25/1996,6/21/2005,25,,
QL681 .D43 1995,QL681.D431995,"Neotropical migratory birds : natural history, distribution, and population change / Richard M. DeGraaf, John H. Rappole","DeGraaf, Richard M",31275027909234,LEAVEY,BOOKSTACKS,BOOKSTACKS,1995,12/8/1996,11/2/2004,1,,
QL678 .G66 1992,QL678.G661992,The survival world of birds / John Gooders,"Gooders, John",31275026492950,LEAVEY,BOOKSTACKS,BOOKSTACKS,1992,9/25/1996,9/6/2005,19,,
QL677.3 .F42,QL677.3.F42,The age of birds / Alan Feduccia,"Feduccia, J. Alan",31275001500231,LEAVEY,BOOKSTACKS,BOOKSTACKS,1980,9/25/1996,9/19/2009,15,,
QL676 .P444,QL676.P444,"The birds, by Roger Tory Peterson and the editors of Life","Peterson, Roger Tory, 1908-1996",31275005956173,LEAVEY,BOOKSTACKS,BOOKSTACKS,1963,9/25/1996,5/9/2003,21,,
QL676 .D267 2009,QL676.D2672009,A year on the wing : four seasons in a life with birds / Tim Dee,"Dee, Tim, 1961-",31275046971108,LEAVEY,BOOKSTACKS,BOOKSTACKS,2009,2/25/2010,5/2/2011,3,,
QL676 .B627 1986,QL676.B6271986,"The Birds around us / editor, Alice E. Mace ; associate editor, Suzanne Sherman ; designer and text illustrator, Ron Hildebrand ; featured artist, John Dawson","Mace, Alice E",31275018514050,LEAVEY,BOOKSTACKS,BOOKSTACKS,1986,9/25/1996,9/6/2005,21,,
QL676.57.N7 A75 2002x,QL676.57.N7A752002x,Restoring North America's birds : lessons from landscape ecology / Robert A. Askins ; illustrations by Julie Zickefoose,"Askins, Robert",31275037309813,LEAVEY,BOOKSTACKS,BOOKSTACKS,2002,12/12/2002,Never,0,,
QL673 .F37 1997,QL673.F371997,"Discovering birds : the emergence of ornithology as a scientific discipline, 1760-1850 / Paul Lawrence Farber","Farber, Paul Lawrence, 1944-",31275012096328,LEAVEY,BOOKSTACKS,BOOKSTACKS,1997,1/7/1998,12/20/2003,12,,
QL673 .B86 1989,QL673.B861989,On the wing : the life of birds : from feathers to flight / Bruce Brooks,"Brooks, Bruce",31275019881706,LEAVEY,BOOKSTACKS,BOOKSTACKS,1989,9/25/1996,5/9/2003,13,,
QL666.O6 P293 1977,QL666.O6P2931977,"Snakes, a natural history / H.W. Parker","Parker, Hampton Wildman, 1897-1968",31275000807850,LEAVEY,BOOKSTACKS,BOOKSTACKS,1977,9/25/1996,10/4/2004,19,,
QL666.L23 M365 1992,QL666.L23M3651992,Masters of disguise : a natural history of chameleons / text by James Martin ; photographs by Art Wolfe,"Martin, James, 1950-",31275026333428,LEAVEY,BOOKSTACKS,BOOKSTACKS,1992,9/25/1996,5/13/2005,11,,
QL651 .S59 1982,QL651.S591982,"Reptiles of North America : a guide to field identification / by Hobart M. Smith and Edmund D. Brodie, Jr. ; illustrated by David M. Dennis and Sy Barlowe","Smith, Hobart Muir, 1912-2013",31275003932705,LEAVEY,BOOKSTACKS,BOOKSTACKS,1982,9/25/1996,8/24/2005,44,,
QL651 .C66 1992,QL651.C661992,"Peterson first guide to reptiles and amphibians / Roger Conant, Robert C. Stebbins, Joseph T. Collins","Conant, Roger, 1909-2003",31275026307273,LEAVEY,BOOKSTACKS,BOOKSTACKS,1992,9/25/1996,1/3/2005,19,,
QL644 .C3,QL644.C3,"The reptiles, by Archie Carr and the editors of Life","Carr, Archie Fairly, 1909-1987",31275001132332,LEAVEY,BOOKSTACKS,BOOKSTACKS,1963,9/25/1996,1/15/2004,26,,
QL641 .H35 1986,QL641.H351986,The encyclopedia of reptiles and amphibians / edited by Tim R. Halliday and Kraig Adler,"Halliday, Tim, 1945-",31275019161166,LEAVEY,BOOKSTACKS,BOOKSTACKS,1986,9/25/1996,1/15/2004,53,,
QL639.3 .R44 2001,QL639.3.R442001,Fish behavior in the aquarium and in the wild / Stéphan Reebs,"Reebs, Stéphan",31275035657791,LEAVEY,BOOKSTACKS,BOOKSTACKS,2001,12/12/2001,5/8/2006,4,,
QL638.S2 B432 2002,QL638.S2B4322002,Trout and salmon of North America / Robert J. Behnke ; illustrated by Joseph R. Tomelleri ; foreword by Thomas McGuane ; introduction by Donald S. Proebstel ; edited by George Scott,"Behnke, Robert J",31275037325827,LEAVEY,BOOKSTACKS,BOOKSTACKS,2002,11/13/2002,2/13/2007,2,,
QL638.95.L3 C37 2006,QL638.95.L3C372006,The devil's teeth : a true story of obsession and survival among America's great white sharks / Susan Casey,"Casey, Susan, 1962-",31275046598711,LEAVEY,BOOKSTACKS,BOOKSTACKS,2006,3/30/2010,8/10/2010,3,,
QL638.9 .S844 1985,QL638.9.S8441985,Sharks of the world / Rodney Steel,"Steel, Rodney",31275035353359,LEAVEY,BOOKSTACKS,BOOKSTACKS,1985,9/25/1996,8/24/2005,30,,
QL563 .P33 2010,QL563.P332010,Keeping the bees : why all bees are at risk and what we can do to save them / Laurence Packer,"Packer, Laurence, 1955-",31275051392372,LEAVEY,BOOKSTACKS,BOOKSTACKS,2010,4/5/2011,Never,0,,
QL520 .S56 2001,QL520.S562001,Dragonflies of the world / Jill Silsby,"Silsby, Jill",31275035686634,LEAVEY,BOOKSTACKS,BOOKSTACKS,2001,10/23/2001,12/8/2009,8,,
QL505.5 .G67 1996,QL505.5.G671996,The compleat cockroach : a comprehensive guide to the most despised (and least understood) creature on earth / David George Gordon,"Gordon, David G. (David George), 1950-",31275028908367,LEAVEY,BOOKSTACKS,BOOKSTACKS,1996,7/1/1997,8/21/2006,23,,
QL50 .W935 2011,QL50.W9352011,"The world of animals : an anthology of lore, legend, and literature / Joseph Wood Krutch, editor","Krutch, Joseph Wood, 1893-1970",31275050836874,LEAVEY,BOOKSTACKS,BOOKSTACKS,2011,10/19/2010,1/13/2011,1,,
QL50 .S55 1987,QL50.S551987,Nature : the other earthlings / James Shreeve,"Shreeve, James",31275019281386,LEAVEY,BOOKSTACKS,BOOKSTACKS,1987,9/25/1996,3/27/2004,9,,
QL50 .C2724 1987,QL50.C27241987,Animals in their places : tales from the natural world / Roger A. Caras,"Caras, Roger A",31275018539776,LEAVEY,BOOKSTACKS,BOOKSTACKS,1987,9/25/1996,11/15/2006,17,,
QL496 .Z85 2011,QL496.Z852011,"Sex on six legs : lessons on life, love, and language from the insect world / Marlene Zuk","Zuk, M. (Marlene)",31275053576535,LEAVEY,BOOKSTACKS,BOOKSTACKS,2011,9/20/2011,12/2/2011,2,,
QL496 .W34 1996,QL496.W341996,Insects through the seasons / Gilbert Waldbauer,"Waldbauer, Gilbert",31275027075432,LEAVEY,BOOKSTACKS,BOOKSTACKS,1996,12/8/1996,1/19/2005,2,,
QL496 .C76 1996,QL496.C761996,Evolution of social insects colonies : sex allocation and kin selection / Ross H. Crozier and Pekka Pamilo,"Crozier, R. H. (Rossiter Henry), 1943-",31275028357730,LEAVEY,BOOKSTACKS,BOOKSTACKS,1996,3/5/1997,11/5/2004,3,,
QL473 .E37 2010,QL473.E372010,"Tracks & sign of insects & other invertebrates : a guide to North American species / Charley Eiseman & Noah Charney, with John Carlson","Eiseman, Charley",31275048501960,LEAVEY,BOOKSTACKS,BOOKSTACKS,2010,5/12/2011,Never,0,,
QL467 .B474 1993,QL467.B4741993,"Ninety-nine more maggots, mites, and munchers / May R. Berenbaum ; illustrations by John Parker Sherrod","Berenbaum, M. (May)",31275027549477,LEAVEY,BOOKSTACKS,BOOKSTACKS,1993,12/16/1996,7/18/2004,4,,
QL463 .O86 1995,QL463.O861995,Alien empire : an exploration of the lives of insects / Christopher O'Toole,"O'Toole, Christopher",31275027907519,LEAVEY,BOOKSTACKS,BOOKSTACKS,1995,12/8/1996,12/19/2007,8,,
QL462.3 .E48 1986,QL462.3.E481986,The encyclopedia of insects / edited by Christopher O'Toole,"O'Toole, Christopher",31275018417460,LEAVEY,BOOKSTACKS,BOOKSTACKS,1986,9/25/1996,5/9/2008,29,,
QL451 .B43 2009,QL451.B432009,Arachnids / Jan Beccaloni,"Beccaloni, Jan, 1966-",31275047047551,LEAVEY,BOOKSTACKS,BOOKSTACKS,2009,2/23/2010,5/18/2010,2,,
QL45.2 .W53 2002,QL45.2.W532002,Life at the limits : organisms in extreme environments / David A. Wharton,"Wharton, David A",31275036783364,LEAVEY,BOOKSTACKS,BOOKSTACKS,2002,10/11/2002,11/24/2003,2,,
QL405 .R72 1951,QL405.R721951,"The shell book; a popular guide to a knowledge of the families of living mollusks, and an aid to the identification of shells native and foreign","Rogers, Julia Ellen, 1866-",31275000683889,LEAVEY,BOOKSTACKS,BOOKSTACKS,1951,9/25/1996,10/1/2004,7,,
QL362 .R76 1994,QL362.R761994,"Invertebrate zoology / Edward E. Ruppert, Robert D. Barnes","Ruppert, Edward E",31275027593061,LEAVEY,BOOKSTACKS,BOOKSTACKS,1994,12/8/1996,11/3/2010,22,,
QL362 .M4 1991,QL362.M41991,"Invertebrate zoology / Paul A. Meglitsch, Frederick R. Schram","Meglitsch, Paul A. (Paul Allen), 1914-",31275027497610,LEAVEY,BOOKSTACKS,BOOKSTACKS,1991,1/8/1997,1/24/2011,30,,
QL31.S54 S65 1993,QL31.S54S651993,Insect man : a fight against malaria in Africa / Alec Smith,"Smith, Alec",31275027538934,LEAVEY,BOOKSTACKS,BOOKSTACKS,1993,12/8/1996,10/12/2008,22,,
QL31.F65 M69 1987,QL31.F65M691987,Woman in the mists : the story of Dian Fossey and the mountain gorillas of Africa / Farley Mowat,"Mowat, Farley",31275044915081,LEAVEY,BOOKSTACKS,BOOKSTACKS,1987,5/12/2008,Never,0,,
QL31.F65 H39 1990,QL31.F65H391990,The dark romance of Dian Fossey / Harold T.P. Hayes,"Hayes, Harold",31275026241266,LEAVEY,BOOKSTACKS,BOOKSTACKS,1990,9/25/1996,5/15/2010,20,,
QL309 .B74 1996,QL309.B741996,Through the tiger's eyes : a chronicle of India's wildlife / Stanley Breeden and Belinda Wright,"Breeden, Stanley, 1937 or 1938-",31275028740786,LEAVEY,BOOKSTACKS,BOOKSTACKS,1996,11/16/1997,4/4/2004,7,,
QL26 .M66 1991,QL26.M661991,"Walking with the great apes : Jane Goodall, Dian Fossey, Biruté Galdikas / Sy Montgomery","Montgomery, Sy",31275023774269,LEAVEY,BOOKSTACKS,BOOKSTACKS,1991,9/25/1996,5/15/2010,32,,
QL164 .S65 2010,QL164.S652010,A California bestiary / Rebecca Solnit and Mona Caron,"Solnit, Rebecca",31275048646476,LEAVEY,BOOKSTACKS,BOOKSTACKS,2010,11/22/2010,2/15/2011,1,,
QL106 .H67 1982,QL106.H671982,Antarctic wildlife / photographs by Eric Hosking ; text by Bryan Sage,"Hosking, Eric John",31275004499498,LEAVEY,BOOKSTACKS,BOOKSTACKS,1982,9/25/1996,5/13/2004,6,,
QL100 .M38 1995,QL100.M381995,Nightmares of nature / [Richard Matthews],"Matthews, Richard (Assistant professor of philosophy)",31275028105634,LEAVEY,BOOKSTACKS,BOOKSTACKS,1995,1/27/1997,12/19/2007,11,,
QK99.U6 M66 1979,QK99.U6M661979,"Medicinal plants of the mountain West : a guide to the identification, preparation, and uses of traditional medicinal plants found in the mountains, foothills, and upland areas of the American West / Michael Moore","Moore, Michael, 1941-2009",31275027843631,LEAVEY,BOOKSTACKS,BOOKSTACKS,1979,12/8/1996,7/23/2005,2,,
QK99.U6 M65 1989,QK99.U6M651989,"Medicinal plants of the desert and canyon West : a guide to identifying, preparing, and using traditional medicinal plants found in the deserts and canyons of the West and Southwest / by Michael Moore ; illustrations by Mimi Kamp and Nora Ryerson","Moore, Michael, 1941-2009",31275027845198,LEAVEY,BOOKSTACKS,BOOKSTACKS,1989,12/8/1996,1/6/2006,2,,
QK99.A1 S79 2004,QK99.A1S792004,Dangerous garden : the quest for plants to change our lives / David Stuart,"Stuart, David C",31275039409306,LEAVEY,BOOKSTACKS,BOOKSTACKS,2004,11/23/2004,Never,0,,
QK99.A1 F57 2010,QK99.A1F572010,Nature's chemicals : the natural products that shaped our world / Richard Firn,"Firn, Richard",31275048757620,LEAVEY,BOOKSTACKS,BOOKSTACKS,2010,4/2/2010,Never,0,,
QK98.4.A1 H63 2004,QK98.4.A1H632004,Seeds of wealth : four plants that made men rich / Henry Hobhouse,"Hobhouse, Henry",31275041290686,LEAVEY,BOOKSTACKS,BOOKSTACKS,2004,7/22/2005,11/11/2005,1,,
QK98.15 .R68 1994,QK98.15.R681994,Treasures of the Royal Horticultural Society / [introduced by] Brent Elliott,Royal Horticultural Society (Great Britain),31275028008804,LEAVEY,BOOKSTACKS,BOOKSTACKS,1994,12/8/1996,1/24/2004,2,,
QK938.F6 P46 1994,QK938.F6P461994,Forest ecosystems / David A. Perry,"Perry, David A",31275027904706,LEAVEY,BOOKSTACKS,BOOKSTACKS,1994,12/8/1996,11/14/2011,12,,
QK882 .H19 1994,QK882.H191994,Photosynthesis / D.O. Hall and K.K. Rao,"Hall, D. O. (David Oakley)",31275027322420,LEAVEY,BOOKSTACKS,BOOKSTACKS,1994,12/8/1996,5/13/2004,49,,
QK711.2 .R38 1972,QK711.2.R381972,The living plant,"Ray, Peter Martin",31275000682758,LEAVEY,BOOKSTACKS,BOOKSTACKS,1972,9/25/1996,2/6/2004,14,,
QK711.2 .G345 1994,QK711.2.G3451994,Life processes of plants / Arthur W. Galston,"Galston, Arthur William, 1920-",31275026294919,LEAVEY,BOOKSTACKS,BOOKSTACKS,1994,9/25/1996,11/2/2004,6,,
QK649 .P7 1985,QK649.P71985,"Leaves, the formation, characteristics, and uses of hundreds of leaves found in all parts of the world / photographs by Kjell B. Sandved; text by Ghillean Tolmie Prance","Prance, Ghillean T., 1937-",31275017466294,LEAVEY,BOOKSTACKS,BOOKSTACKS,1985,9/25/1996,11/7/2004,10,,
QK617 .S32 1997,QK617.S321997,In the company of mushrooms : a biologist's tale / Elio Schaechter,"Schaechter, Moselio",31275028703958,LEAVEY,BOOKSTACKS,BOOKSTACKS,1997,10/31/1997,4/3/2011,6,,
QK495.S7 D48 1996,QK495.S7D481996,Peppers of the world : an identification guide / by Dave DeWitt and Paul W. Bosland,"DeWitt, Dave",31275028506401,LEAVEY,BOOKSTACKS,BOOKSTACKS,1996,8/14/1997,Never,0,,
QK495.C11 H39 1997,QK495.C11H391997,The great saguaro book / Susan Hazen-Hammond,"Hazen-Hammond, Susan",31275028514827,LEAVEY,BOOKSTACKS,BOOKSTACKS,1997,11/19/1997,11/7/2004,3,,
QK475 .D42 2009,QK475.D422009,Wildwood : a journey through trees / Roger Deakin,"Deakin, Roger",31275046388907,LEAVEY,BOOKSTACKS,BOOKSTACKS,2009,4/6/2009,Never,0,,
QK45.2 .W55 1988,QK45.2.W551988,"Plantwatching : how plants remember, tell time, form partnerships, and more / Malcolm Wilkins","Wilkins, Malcolm B",31275021274833,LEAVEY,BOOKSTACKS,BOOKSTACKS,1988,9/25/1996,11/1/2004,6,,
QK45.2 .S76 1983,QK45.2.S761983,The lives of plants / Doris M. Stone,"Stone, Doris M., 1918-",31275004399334,LEAVEY,BOOKSTACKS,BOOKSTACKS,1983,9/25/1996,7/2/2004,10,,
QK45.2 .C67 2002,QK45.2.C672002,The life of plants / E.J.H. Corner ; with a new foreword by Karl J. Kiklas,"Corner, E. J. H. (Edred John Henry)",31275037685311,LEAVEY,BOOKSTACKS,BOOKSTACKS,2002,7/16/2003,5/6/2006,5,,
QK149 .K43 1995,QK149.K431995,"In full view : three ways of seeing California plants / [Glenn Keator, Linda Yamane, Ann Lewis]","Keaton, Glenn",31275026454695,LEAVEY,BOOKSTACKS,BOOKSTACKS,1995,10/30/1997,4/4/2007,2,,
QK117 .G75 1950,QK117.G751950,Manual of botany; a handbook of the flowering plants and ferns of the central and northeastern United States and adjacent Canada,"Gray, Asa, 1810-1888",31275019277897,LEAVEY,BOOKSTACKS,BOOKSTACKS,1950,9/25/1996,2/25/2004,4,,
QK115 .J63 1988,QK115.J631988,Wildflowers across America / Lady Bird Johnson and Carlton B. Lees ; photographs selected by Les Line,"Johnson, Lady Bird, 1912-2007",31275019439174,LEAVEY,BOOKSTACKS,BOOKSTACKS,1988,9/25/1996,7/23/2005,12,,
QH95.8 .R63 1986,QH95.8.R631986,Coral kingdoms / by Carl Roessler,"Roessler, Carl, 1933-",31275017855710,LEAVEY,BOOKSTACKS,BOOKSTACKS,1986,9/25/1996,2/8/2009,25,,
QH95.8 .K8413 1985,QH95.8.K84131985,Living coral reefs of the world / Dietrich Kuhlmann,"Kühlmann, Dietrich H. H",31275017155004,LEAVEY,BOOKSTACKS,BOOKSTACKS,1985,9/25/1996,2/8/2009,27,,
QH95.8 .D38 1998,QH95.8.D381998,The enchanted braid : coming to terms with nature on the coral reef / Osha Gray Davidson,"Davidson, Osha Gray",31275012478203,LEAVEY,BOOKSTACKS,BOOKSTACKS,1998,4/23/1998,9/7/2009,10,,
QH95.45.S68 E25 1993,QH95.45.S68E251993,"Ecology of the Southern California Bight : a synthesis and interpretation / edited by Murray D. Dailey, Donald J. Reish, Jack W. Anderson","Dailey, Murray D",31275027609081,LEAVEY,BOOKSTACKS,BOOKSTACKS,1993,1/8/1997,3/20/2010,26,,
QH93.5.R43 R43 1987,QH93.5.R43R431987,Red Sea / edited by Alasdair J. Edwards and Stephen M. Head ; foreword by HRH the Duke of Edinburgh,"Edwards, Alasdair J",31275023048052,LEAVEY,BOOKSTACKS,BOOKSTACKS,1987,9/25/1996,10/8/2003,9,,
QH91 .M45 1995,QH91.M451995,Marine life and the sea / David H. Milne,"Milne, David",31275027594663,LEAVEY,BOOKSTACKS,BOOKSTACKS,1995,12/8/1996,6/9/2011,18,,
QH91.15 .H67 1985,QH91.15.H671985,Seawatch : the seafarer's guide to marine life / Paul V. Horsman,"Horsman, Paul V",31275015820153,LEAVEY,BOOKSTACKS,BOOKSTACKS,1985,9/25/1996,2/8/2009,23,,
QH88 .A45 2000,QH88.A452000,Deserts / Michael Allaby,"Allaby, Michael",31275035755629,LEAVEY,BOOKSTACKS,BOOKSTACKS,2001,7/17/2001,Never,0,,
QH87.3 .M66 2000,QH87.3.M662000,Wetlands / Peter D. Moore,"Moore, Peter D",31275035755728,LEAVEY,BOOKSTACKS,BOOKSTACKS,2000,7/17/2001,3/26/2005,9,,
QH84 .M34 2009,QH84.M342009,Here be dragons : how the study of animal and plant distributions revolutionized our views of life and earth / Dennis McCarthy,"McCarthy, Dennis, 1964-",31275047047494,LEAVEY,BOOKSTACKS,BOOKSTACKS,2009,2/23/2010,Never,0,,
QH84.5 .F68 2002,QH84.5.F682002,"Foundations of tropical forest biology : classic papers with commentaries / editors, Robin L. Chazdon and T.C. Whitmore ; editorial board, Yves Basset ... [et al.]","Chazdon, Robin Lee, 1957-",31275036710409,LEAVEY,BOOKSTACKS,BOOKSTACKS,2002,7/10/2002,4/26/2004,1,,
QH83 .Y66 2009,QH83.Y662009,Naming nature : the clash between instinct and science / Carol Kaesuk Yoon,"Yoon, Carol Kaesuk",31275047006201,LEAVEY,BOOKSTACKS,BOOKSTACKS,2009,10/13/2009,Never,0,,
QH83 .M69 2004,QH83.M692004,This is not a weasel : a close look at nature's most confusing terms / Philip B. Mortenson,"Mortenson, Philip B",31275046584711,LEAVEY,BOOKSTACKS,BOOKSTACKS,2004,8/19/2009,Never,0,,
QH81 .Q17 2000,QH81.Q172000,The boilerplate rhino : nature in the eye of the beholder / David Quammen,"Quammen, David, 1948-",31275035130658,LEAVEY,BOOKSTACKS,BOOKSTACKS,2000,5/3/2000,11/14/2005,6,,
QH81 .O674 2002,QH81.O6742002,"On nature : great writers on the great outdoors / edited by Lee Gutkind ; assistant editor, Kate Luce Angell","Gutkind, Lee",31275036763366,LEAVEY,BOOKSTACKS,BOOKSTACKS,2002,9/5/2002,Never,0,,
QH81 .G673 1985,QH81.G6731985,The flamingo's smile : reflections in natural history / Stephen Jay Gould,"Gould, Stephen Jay",31275017670853,LEAVEY,BOOKSTACKS,BOOKSTACKS,1985,9/25/1996,9/24/2010,26,,
QH81 .G482 2004,QH81.G4822004,Natural coincidence : the trip from Kalamazoo / Bil Gilbert,"Gilbert, Bil",31275039102505,LEAVEY,BOOKSTACKS,BOOKSTACKS,2004,9/14/2004,Never,0,,
QH77 .S44,QH77.S44,Second nature / edited by Richard Mabey with Susan Clifford & Angela King for Common Ground,"Mabey, Richard, 1941-",31275018123704,LEAVEY,BOOKSTACKS,BOOKSTACKS,1984,9/25/1996,7/29/2004,3,,
QH77.N56 F76 2005,QH77.N56F762005,"From Walden to Wall Street : frontiers of conservation finance / editor, James N. Levitt ; assistant editor, Lydia K. Bergen","Levitt, James N",31275040033053,LEAVEY,BOOKSTACKS,BOOKSTACKS,2005,12/8/2005,11/2/2006,1,,
