Call Number,Call Number (Formatted),Title,Author,Barcode,Library,Home Location,Current Location,Year,Date Added,Last Check-Out,Check-Outs,,
UB418.W65 W68 1994,UB418.W65W681994,"Women soldiers : images and realities / edited by Elisabetta Addis, Valeria E. Russo and Lorenza Sebesta","Addis, E. (Elisabetta)",31275027538298,LEAVEY,BOOKSTACKS,BOOKSTACKS,1994,12/8/1996,10/7/2010,15,,
UB418.W65 W67 1992,UB418.W65W671992,Women in the military / edited by E.A. Blacksmith,"Blacksmith, E. A",31275029546687,LEAVEY,BOOKSTACKS,BOOKSTACKS,1992,9/25/1996,10/7/2010,16,,
UB418 .W65 I88 1996,UB418.W65I881996,"It's our military, too! : women and the U.S. military / edited by Judith Hicks Stiehm","Stiehm, Judith Hicks, 1935-",31275029448835,LEAVEY,BOOKSTACKS,BOOKSTACKS,1996,3/27/1999,10/7/2010,44,,
UB418.G38 G37 1993,UB418.G38G371993,Gays--in or out? : the U.S. military & homosexuals : a source book,"Ray, Ronald D. Military necessity & homosexuality. 1993",31275026291956,LEAVEY,BOOKSTACKS,BOOKSTACKS,1993,9/24/1996,10/8/2005,20,,
UB418.G38 G36 1994,UB418.G38G361994,"Gays and lesbians in the military : issues, concerns, and contrasts / Wilbur J. Scott and Sandra Carson Stanley, editors","Scott, Wilbur J., 1946-",31275027472563,LEAVEY,BOOKSTACKS,BOOKSTACKS,1994,12/16/1996,11/18/2010,26,,
UB418.A47 F54 2008,UB418.A47F542008,"Buffalo soldiers : African American troops in the US forces, 1866-1945 / Ron Field & Alexander Bielakowski","Field, Ron",31275046039773,LEAVEY,BOOKSTACKS,BOOKSTACKS,2008,3/30/2009,Never,0,,
UB416 .R67 2005,UB416.R672005,Armies of the young : child soldiers in war and terrorism / David M. Rosen,"Rosen, David M., 1944-",31275039998985,LEAVEY,BOOKSTACKS,BOOKSTACKS,2005,8/31/2005,2/16/2011,6,,
UB271.J3 H328 1988,UB271.J3H3281988,Essence of ninjutsu : the nine traditions / Masaaki Hatsumi,"Hatsumi, Masaaki, 1931-",31275019690420,LEAVEY,BOOKSTACKS,BOOKSTACKS,1988,9/25/1996,10/23/2011,52,,
UB250 .I57 1981,UB250.I571981,"Intelligence policy and national security / edited by Robert L. Pfaltzgraff, Jr., Uri Raʼanan and Warren Milberg","Pfaltzgraff, Robert L",31275002252642,LEAVEY,BOOKSTACKS,BOOKSTACKS,1981,9/25/1996,10/2/2004,18,,
UA853.I8 C62 1998,UA853.I8C621998,Israel and the bomb / Avner Cohen,"Cohen, Avner, 1951-",31275012547957,LEAVEY,BOOKSTACKS,BOOKSTACKS,1998,10/23/1998,11/29/2010,6,,
